Run ID,Event ID,QP Creation Time [ns],Patch Copy Number,Patch IX,Patch IY,Patch Center X [um],Patch Center Y [um],QPs Created
0,23828,13684.9,1502,19,1,3800,200,4
0,23844,337.976,839,2,1,400,200,2
0,23852,38048,1502,19,1,3800,200,4
0,23857,18102.6,1502,19,1,3800,200,2
0,23860,18519.5,839,2,1,400,200,2
0,23865,481.893,839,2,1,400,200,2
0,23869,27605.3,1502,19,1,3800,200,4
0,23874,27302.7,1502,19,1,3800,200,4
0,23883,41766.5,1502,19,1,3800,200,6
0,23888,869.917,839,2,1,400,200,2
0,23888,8346.52,1502,19,1,3800,200,2
0,23899,401.019,839,2,1,400,200,4
0,27247,76878.5,1502,19,1,3800,200,2
0,27251,10693.7,1502,19,1,3800,200,6
0,27262,1444.06,839,2,1,400,200,4
0,27275,51358,839,2,1,400,200,2
0,27276,99295.3,1502,19,1,3800,200,4
0,27280,63095.1,1502,19,1,3800,200,2
0,27281,32095.6,839,2,1,400,200,2
0,27283,98401.4,1502,19,1,3800,200,2
0,27285,39509.7,1502,19,1,3800,200,6
0,27298,43020.5,1502,19,1,3800,200,6
0,27308,34817.9,1502,19,1,3800,200,2
0,27321,879.534,839,2,1,400,200,2
0,27328,88706.7,1502,19,1,3800,200,4
0,27333,102714,839,2,1,400,200,2
0,27336,29630.5,839,2,1,400,200,4
0,27346,16542.5,1502,19,1,3800,200,8
0,27348,4821.29,839,2,1,400,200,6
0,27361,6917.94,839,2,1,400,200,2
0,27385,49660,1502,19,1,3800,200,4
0,27389,15940.9,1502,19,1,3800,200,4
0,831,15739.2,1502,19,1,3800,200,2
0,842,48113,839,2,1,400,200,2
0,842,12930.3,1502,19,1,3800,200,2
0,849,5660.92,839,2,1,400,200,2
0,856,19536.3,1502,19,1,3800,200,4
0,859,131096,839,2,1,400,200,2
0,864,99485.6,1502,19,1,3800,200,2
0,868,14399.5,839,2,1,400,200,2
0,868,28420.8,1502,19,1,3800,200,8
0,877,66360.9,1502,19,1,3800,200,2
0,880,103046,839,2,1,400,200,8
0,881,468.039,839,2,1,400,200,6
