Run ID,Event ID,QP Creation Time [ns],Patch Copy Number,Patch IX,Patch IY,Patch Center X [um],Patch Center Y [um],QPs Created
0,27334,3100.58,839,2,1,400,200,2
0,27361,292.656,839,2,1,400,200,2
0,40,289.988,839,2,1,400,200,4
0,4329,428.162,839,2,1,400,200,2
0,6706,763.61,839,2,1,400,200,12
0,10327,1252.94,839,2,1,400,200,2
0,10341,1480.26,839,2,1,400,200,4
0,10348,431.756,839,2,1,400,200,10
0,13969,867.324,839,2,1,400,200,6
0,14071,1267.31,839,2,1,400,200,16
0,17156,104.916,839,2,1,400,200,4
0,17156,228.137,839,2,1,400,200,8
0,17195,8433.77,839,2,1,400,200,6
0,21697,611.024,839,2,1,400,200,10
0,21712,480.407,839,2,1,400,200,2
0,24661,1751.52,1502,19,1,3800,200,4
0,27600,715.267,839,2,1,400,200,8
0,27675,336.912,839,2,1,400,200,8
0,2860,425.434,839,2,1,400,200,2
0,2877,230.279,839,2,1,400,200,2
0,2878,581.763,839,2,1,400,200,16
0,2933,373.485,839,2,1,400,200,6
0,4648,270.15,839,2,1,400,200,10
0,4748,578.161,839,2,1,400,200,2
0,7615,339.777,839,2,1,400,200,16
0,11027,1174.5,839,2,1,400,200,6
0,11112,767.239,839,2,1,400,200,4
0,15097,791.233,839,2,1,400,200,4
0,18792,513.301,839,2,1,400,200,4
0,18805,1104.13,839,2,1,400,200,4
0,22443,478.316,839,2,1,400,200,16
0,22459,242.875,839,2,1,400,200,10
0,22463,138.107,839,2,1,400,200,4
0,22465,1457.49,839,2,1,400,200,2
0,22472,476.939,839,2,1,400,200,6
0,22505,384.754,839,2,1,400,200,10
0,25996,357.611,839,2,1,400,200,2
0,26053,7573.79,1502,19,1,3800,200,4
0,26061,178.546,839,2,1,400,200,10
0,2661,811.329,839,2,1,400,200,2
0,2743,279.815,839,2,1,400,200,16
0,6180,389.206,839,2,1,400,200,4
0,8217,554.752,839,2,1,400,200,12
0,10629,675.063,839,2,1,400,200,2
0,10684,1167.04,1502,19,1,3800,200,2
0,10725,236.159,839,2,1,400,200,4
0,10757,926.107,839,2,1,400,200,2
0,10759,850.678,839,2,1,400,200,2
0,15644,1231.76,839,2,1,400,200,2
0,15652,323.164,839,2,1,400,200,2
0,15716,463.856,839,2,1,400,200,4
0,15721,132.956,839,2,1,400,200,6
0,15741,93.7054,839,2,1,400,200,2
0,18027,2065.95,839,2,1,400,200,2
0,18076,1862.12,1502,19,1,3800,200,2
0,21212,3411.73,1502,19,1,3800,200,2
0,24756,291.491,839,2,1,400,200,2
0,24821,447.17,839,2,1,400,200,10
0,24861,390.159,839,2,1,400,200,4
0,5671,757.603,839,2,1,400,200,8
0,5732,110.236,839,2,1,400,200,2
0,5759,1153.99,839,2,1,400,200,2
0,8845,683.661,839,2,1,400,200,10
0,8846,231.452,839,2,1,400,200,2
0,8952,433.38,839,2,1,400,200,2
0,12870,1313.78,839,2,1,400,200,2
0,17786,717.404,839,2,1,400,200,2
0,17925,1596.68,839,2,1,400,200,2
0,22141,162.054,839,2,1,400,200,4
0,24008,436.109,839,2,1,400,200,2
0,24046,177.94,839,2,1,400,200,4
0,27126,970.337,839,2,1,400,200,6
0,27155,260.899,839,2,1,400,200,6
0,27175,350.829,839,2,1,400,200,8
0,2243,393.11,839,2,1,400,200,10
0,2317,765.985,839,2,1,400,200,4
0,2317,205.843,839,2,1,400,200,4
0,5518,371.723,839,2,1,400,200,10
0,5567,382.448,839,2,1,400,200,4
0,9643,324.617,839,2,1,400,200,14
0,9669,370.731,839,2,1,400,200,6
0,9790,322.034,839,2,1,400,200,8
0,12960,136.881,839,2,1,400,200,10
0,12973,564.044,839,2,1,400,200,16
0,17460,176.282,839,2,1,400,200,8
0,17470,4462.77,839,2,1,400,200,4
0,17527,240.791,839,2,1,400,200,4
0,17563,478.081,839,2,1,400,200,12
0,20361,314.279,839,2,1,400,200,8
0,23600,661.336,839,2,1,400,200,2
0,26942,814.258,839,2,1,400,200,2
0,26951,233.188,839,2,1,400,200,4
0,26969,206.88,839,2,1,400,200,6
0,2515,480.718,839,2,1,400,200,4
0,2523,382.164,839,2,1,400,200,2
0,2587,564.111,839,2,1,400,200,4
0,6388,857.662,839,2,1,400,200,4
0,8639,280.555,839,2,1,400,200,2
0,8689,271.422,839,2,1,400,200,16
